id,institution_id,account_id,user_id,categorie_id,type,plaid_ref,montant,devise,commentaire,destinataire,destinataire_logo,date_emission,date_validation,role_id,nom,prenom,plaind_access,email,financial_profile,monthly_income_base,monthly_income_summer
1,1,2,1,6,credit,36574ec8-a44f-3307-8e72-f44131bdb17c,500.0,EUR,Bourse mensuelle,Dufour Marques S.A.R.L.,https://via.placeholder.com/100x100.png/00aa77?text=business+in,2023-01-03 00:00:00,2023-01-03 00:00,1,Admin,Étudiant,,a@a.aa,,,
2,1,2,1,6,credit,9ab8d0ab-1aa4-364a-bdb8-32d69374c477,60.0,EUR,Job étudiant - Tutoring,Bertrand et Fils,https://via.placeholder.com/100x100.png/00eeaa?text=business+accusamus,2023-01-01 00:00:00,2023-01-01 00:00,1,Admin,Étudiant,,a@a.aa,,,
3,5,4,1,2,debit,50e91cf8-4643-31f9-9e0a-e4ecd73e9880,420.0,EUR,Loyer colocation,Julien Bouvier SAS,https://via.placeholder.com/100x100.png/00ddee?text=business+occaecati,2023-01-01 00:00:00,2023-01-01 00:00,1,Admin,Étudiant,,a@a.aa,,,
4,4,3,1,2,debit,fed9e86d-9534-35c4-9e63-b9104c36e8e8,65.0,EUR,Charges/Eau/Gaz,Rousset,https://via.placeholder.com/100x100.png/0044aa?text=business+adipisci,2023-01-05 00:00:00,2023-01-05 00:00,1,Admin,Étudiant,,a@a.aa,,,
5,4,3,1,2,debit,ebb9617e-9b09-35ca-bf73-64c89bff9832,20.0,EUR,Internet WiFi,Bouvier,https://via.placeholder.com/100x100.png/004499?text=business+et,2023-01-15 00:00:00,2023-01-15 00:00,1,Admin,Étudiant,,a@a.aa,,,
6,1,2,1,13,debit,eda9b013-d98d-3b2c-8276-4267c0576ad5,15.0,EUR,Forfait mobile,Chauvet Thibault SARL,https://via.placeholder.com/100x100.png/002266?text=business+a,2023-01-10 00:00:00,2023-01-10 00:00,1,Admin,Étudiant,,a@a.aa,,,
7,4,3,1,3,debit,13663f3f-0c8e-3d78-a3ed-58bff559af94,40.0,EUR,Abonnement transport,Perrier S.A.S.,https://via.placeholder.com/100x100.png/00ffff?text=business+rerum,2023-01-01 00:00:00,2023-01-01 00:00,1,Admin,Étudiant,,a@a.aa,,,
8,4,3,1,9,debit,34d84b7a-9778-3075-af04-e17e9e49757f,87.01,EUR,Fournitures scolaires,Lacroix,https://via.placeholder.com/100x100.png/0000aa?text=business+sapiente,2023-01-28 00:00:00,2023-01-28 00:00,1,Admin,Étudiant,,a@a.aa,,,
9,4,3,1,1,debit,517c3591-6445-3334-aef9-455b7c5e0246,6.78,EUR,Restaurant U / Cafeteria,Lucas,https://via.placeholder.com/100x100.png/00dd66?text=business+similique,2023-01-13 00:00:00,2023-01-13 00:00,1,Admin,Étudiant,,a@a.aa,,,
10,1,1,1,4,debit,4dfbd039-23ad-38e9-b93e-adf2b785f1fe,13.02,EUR,Cinema/Concerts,Remy SARL,https://via.placeholder.com/100x100.png/00aaff?text=business+sequi,2023-01-18 00:00:00,2023-01-18 00:00,1,Admin,Étudiant,,a@a.aa,,,
11,5,4,1,1,debit,7c7192ee-fc14-3d46-93ff-99986cdde4bf,39.83,EUR,Courses alimentaires,Maury,https://via.placeholder.com/100x100.png/002299?text=business+porro,2023-01-07 00:00:00,2023-01-07 00:00,1,Admin,Étudiant,,a@a.aa,,,
12,4,3,1,5,debit,925b1c34-cce0-3ccd-b142-3e74ca8c22e7,20.0,EUR,Salle de sport,Becker,https://via.placeholder.com/100x100.png/008822?text=business+quia,2023-01-12 00:00:00,2023-01-12 00:00,1,Admin,Étudiant,,a@a.aa,,,
13,1,2,1,1,debit,b4f0732a-f274-34e3-8c1b-7092afc246aa,14.6,EUR,Dejeuner entre amis,Boutin Parent S.A.S.,https://via.placeholder.com/100x100.png/007733?text=business+quasi,2023-01-01 00:00:00,2023-01-01 00:00,1,Admin,Étudiant,,a@a.aa,,,
14,1,2,1,6,credit,ff38177e-69f0-39c7-a1ad-8f8753e77168,500.0,EUR,Bourse mensuelle,Charrier SARL,https://via.placeholder.com/100x100.png/00dd33?text=business+necessitatibus,2023-02-03 00:00:00,2023-02-03 00:00,1,Admin,Étudiant,,a@a.aa,,,
15,1,2,1,6,credit,569fa4f6-77dc-36b3-978b-48ec791fd409,60.0,EUR,Job étudiant - Tutoring,Seguin,https://via.placeholder.com/100x100.png/004422?text=business+consectetur,2023-02-21 00:00:00,2023-02-21 00:00,1,Admin,Étudiant,,a@a.aa,,,
16,4,3,1,2,debit,2f3b0919-2020-371c-9ab6-a4bb6f68f3bf,420.0,EUR,Loyer colocation,Maillard SARL,https://via.placeholder.com/100x100.png/005533?text=business+minima,2023-02-01 00:00:00,2023-02-01 00:00,1,Admin,Étudiant,,a@a.aa,,,
17,5,4,1,2,debit,e8c5acaf-0ace-3e95-97fd-a2758578ff13,65.0,EUR,Charges/Eau/Gaz,Muller,https://via.placeholder.com/100x100.png/009944?text=business+non,2023-02-05 00:00:00,2023-02-05 00:00,1,Admin,Étudiant,,a@a.aa,,,
18,4,3,1,2,debit,9ba63d1d-a691-3544-bfe4-fd81d675d9b2,20.0,EUR,Internet WiFi,Joly,https://via.placeholder.com/100x100.png/0088ff?text=business+aut,2023-02-15 00:00:00,2023-02-15 00:00,1,Admin,Étudiant,,a@a.aa,,,
19,4,3,1,13,debit,42bdda39-07ac-3bca-8aa5-a18cf51b05c8,15.0,EUR,Forfait mobile,Paul,https://via.placeholder.com/100x100.png/009988?text=business+repudiandae,2023-02-10 00:00:00,2023-02-10 00:00,1,Admin,Étudiant,,a@a.aa,,,
20,4,3,1,3,debit,1794657e-4425-3642-99ff-3a388b547558,40.0,EUR,Abonnement transport,Maillot Boyer SA,https://via.placeholder.com/100x100.png/00ee55?text=business+iusto,2023-02-01 00:00:00,2023-02-01 00:00,1,Admin,Étudiant,,a@a.aa,,,
21,1,1,1,4,debit,f75517b4-fcf7-3291-8ff7-a50f037b4d3d,15.59,EUR,Cinema/Concerts,Godard SA,https://via.placeholder.com/100x100.png/003366?text=business+molestias,2023-02-12 00:00:00,2023-02-12 00:00,1,Admin,Étudiant,,a@a.aa,,,
22,4,3,1,12,debit,936ca2b2-15eb-37bb-b44a-5219950cdae2,60.28,EUR,Epargne/Urgence,Didier,https://via.placeholder.com/100x100.png/000011?text=business+et,2023-02-19 00:00:00,2023-02-19 00:00,1,Admin,Étudiant,,a@a.aa,,,
23,1,2,1,4,debit,4bc89314-056b-37af-b05b-be16ff589a6f,21.01,EUR,Sorties/Soirees,Samson Bousquet SAS,https://via.placeholder.com/100x100.png/00ee44?text=business+sed,2023-02-21 00:00:00,2023-02-21 00:00,1,Admin,Étudiant,,a@a.aa,,,
24,5,4,1,12,debit,49e76a8c-b82c-35bb-ae6d-3d757be5f916,73.05,EUR,Epargne/Urgence,Millet,https://via.placeholder.com/100x100.png/00dd00?text=business+harum,2023-02-28 00:00:00,2023-02-28 00:00,1,Admin,Étudiant,,a@a.aa,,,
25,5,4,1,1,debit,0511c718-3de1-354b-aec4-2151a266e74c,13.37,EUR,Dejeuner entre amis,Briand,https://via.placeholder.com/100x100.png/00bbbb?text=business+porro,2023-02-17 00:00:00,2023-02-17 00:00,1,Admin,Étudiant,,a@a.aa,,,
26,1,1,1,9,debit,25813822-122d-3e63-ba39-b5108d308fd4,47.22,EUR,Livres/Manuels,Lamy Torres SA,https://via.placeholder.com/100x100.png/00dd22?text=business+quis,2023-02-25 00:00:00,2023-02-25 00:00,1,Admin,Étudiant,,a@a.aa,,,
27,1,2,1,12,debit,956b17ca-b20e-3674-9041-e827467a8971,60.03,EUR,Epargne/Urgence,Le Goff,https://via.placeholder.com/100x100.png/0033cc?text=business+repellat,2023-02-10 00:00:00,2023-02-10 00:00,1,Admin,Étudiant,,a@a.aa,,,
28,1,1,1,6,credit,f0791683-1d10-3e64-a05a-d12133fc15f9,500.0,EUR,Bourse mensuelle,Martel Thierry S.A.,https://via.placeholder.com/100x100.png/0000aa?text=business+eum,2023-03-03 00:00:00,2023-03-03 00:00,1,Admin,Étudiant,,a@a.aa,,,
29,5,4,1,6,credit,28a08115-d415-397b-8e81-7b0e09511105,60.0,EUR,Job étudiant - Tutoring,Colin,https://via.placeholder.com/100x100.png/00ee77?text=business+et,2023-03-10 00:00:00,2023-03-10 00:00,1,Admin,Étudiant,,a@a.aa,,,
30,1,1,1,2,debit,ad97fb16-2242-3c25-a72e-760aaadccaf8,420.0,EUR,Loyer colocation,Mahe Allard S.A.R.L.,https://via.placeholder.com/100x100.png/0000ff?text=business+tenetur,2023-03-01 00:00:00,2023-03-01 00:00,1,Admin,Étudiant,,a@a.aa,,,
31,4,3,1,2,debit,cc2dea8d-cf20-3a06-bcb9-0021826a7252,65.0,EUR,Charges/Eau/Gaz,Guillet et Fils,https://via.placeholder.com/100x100.png/0088ee?text=business+aperiam,2023-03-05 00:00:00,2023-03-05 00:00,1,Admin,Étudiant,,a@a.aa,,,
32,4,3,1,2,debit,542c854d-5346-3158-bb0c-07913706c6dc,20.0,EUR,Internet WiFi,Herve Jacques S.A.R.L.,https://via.placeholder.com/100x100.png/003333?text=business+tenetur,2023-03-15 00:00:00,2023-03-15 00:00,1,Admin,Étudiant,,a@a.aa,,,
33,1,2,1,13,debit,a1bde682-f4db-385c-9e0c-cff31f7f4924,15.0,EUR,Forfait mobile,Delattre,https://via.placeholder.com/100x100.png/00aadd?text=business+ut,2023-03-10 00:00:00,2023-03-10 00:00,1,Admin,Étudiant,,a@a.aa,,,
34,5,4,1,3,debit,8fa9dd58-6b0d-34bd-9798-9a1dd7a3a925,40.0,EUR,Abonnement transport,Aubert S.A.S.,https://via.placeholder.com/100x100.png/00ff22?text=business+qui,2023-03-01 00:00:00,2023-03-01 00:00,1,Admin,Étudiant,,a@a.aa,,,
35,4,3,1,5,debit,cbf3b3f7-b618-37f5-b026-05b2943871fc,20.0,EUR,Salle de sport,Dijoux,https://via.placeholder.com/100x100.png/007733?text=business+illum,2023-03-27 00:00:00,2023-03-27 00:00,1,Admin,Étudiant,,a@a.aa,,,
36,5,4,1,4,debit,03fd6682-79b1-3858-bc6e-0f47614703f1,12.4,EUR,Cinema/Concerts,Jacquot Evrard SAS,https://via.placeholder.com/100x100.png/0088aa?text=business+hic,2023-03-24 00:00:00,2023-03-24 00:00,1,Admin,Étudiant,,a@a.aa,,,
37,1,2,1,4,debit,74afb9d7-6ad2-335e-b2c5-6f38870d974b,45.77,EUR,Vetements/Chaussures,Sauvage,https://via.placeholder.com/100x100.png/00dd33?text=business+voluptate,2023-03-06 00:00:00,2023-03-06 00:00,1,Admin,Étudiant,,a@a.aa,,,
38,1,2,1,12,debit,ec8d5692-be74-3e0c-b687-0fa499322f80,55.64,EUR,Epargne/Urgence,Richard Vincent et Fils,https://via.placeholder.com/100x100.png/0000aa?text=business+deleniti,2023-03-10 00:00:00,2023-03-10 00:00,1,Admin,Étudiant,,a@a.aa,,,
39,5,4,1,1,debit,268a48f1-9449-3c8c-ad20-b59038acb396,47.44,EUR,Courses alimentaires,Chauvet,https://via.placeholder.com/100x100.png/007777?text=business+impedit,2023-03-08 00:00:00,2023-03-08 00:00,1,Admin,Étudiant,,a@a.aa,,,
40,5,4,1,1,debit,66e2f6fc-db9f-3e41-9c96-e5185a99e7e0,46.34,EUR,Courses alimentaires,Benard S.A.,https://via.placeholder.com/100x100.png/0022ff?text=business+rerum,2023-03-23 00:00:00,2023-03-23 00:00,1,Admin,Étudiant,,a@a.aa,,,
41,1,1,1,4,debit,c36481e4-ace2-3f3d-b9a2-8fad99372a10,23.22,EUR,Sorties/Soirees,Lebreton Pottier et Fils,https://via.placeholder.com/100x100.png/0044ee?text=business+nesciunt,2023-03-28 00:00:00,2023-03-28 00:00,1,Admin,Étudiant,,a@a.aa,,,
42,1,2,1,1,debit,66dae286-53bb-3030-96c3-08fe0aff4d46,5.45,EUR,Restaurant U / Cafeteria,Morel,https://via.placeholder.com/100x100.png/00ff33?text=business+et,2023-03-15 00:00:00,2023-03-15 00:00,1,Admin,Étudiant,,a@a.aa,,,
43,5,4,1,4,debit,41fdeb54-8d80-3130-8f6d-0be77eb826b9,16.97,EUR,Cinema/Concerts,Legendre S.A.,https://via.placeholder.com/100x100.png/006644?text=business+molestiae,2023-03-18 00:00:00,2023-03-18 00:00,1,Admin,Étudiant,,a@a.aa,,,
44,5,4,1,1,debit,ab706ff1-27ea-3b00-8c55-cdd6ccc43b03,7.18,EUR,Restaurant U / Cafeteria,Boyer S.A.R.L.,https://via.placeholder.com/100x100.png/00aa99?text=business+ducimus,2023-03-06 00:00:00,2023-03-06 00:00,1,Admin,Étudiant,,a@a.aa,,,
45,4,3,1,6,credit,292b0ef9-bfa4-33c8-b967-b95deb645061,500.0,EUR,Bourse mensuelle,Bousquet,https://via.placeholder.com/100x100.png/0033cc?text=business+labore,2023-04-03 00:00:00,2023-04-03 00:00,1,Admin,Étudiant,,a@a.aa,,,
